"Funcionario_Deixou_Empresa","Freq_Viagens","Formacao","Estado_Civil","Faz_hora_extras","Equilibrio_de_Vida","Idade","Tempo_de_empresa"
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",41,8
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",50,4
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",40,6
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Muito bom",31,2
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",21,1
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",29,3
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",35,1
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",27,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",28,7
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",49,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",51,7
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,2
"Sim","Não viaja","Ensino Superior","Solteiro","Sim","Bom",34,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",55,5
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Excelente",24,5
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",30,1
"Sim","Viaja frequentemente","Ensino Médio","Solteiro","Não","Muito bom",26,6
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",22,2
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",36,10
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Sim","Muito bom",30,1
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",37,18
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",40,5
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",42,5
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Bom",37,1
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",43,25
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",40,1
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",54,4
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",34,3
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Ruim",31,13
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",43,3
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Muito bom",43,5
"Não","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",25,5
"Não","Não viaja","Doutorado","Casado","Sim","Muito bom",37,13
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",31,4
"Não","Viaja frequentemente","Ensino Médio","Divorciado","Sim","Muito bom",39,21
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Bom",56,7
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",30,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",41,10
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",28,10
"Sim","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",25,2
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",52,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",45,2
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Ruim",52,5
"Não","Viaja frequentemente","Ensino Técnico","Divorciado","Não","Muito bom",42,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",30,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Ruim",60,29
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",46,10
"Não","Viaja frequentemente","Mestrado","Casado","Não","Excelente",42,6
"Sim","Viaja raramente","Ensino Médio","Solteiro","Sim","Muito bom",24,5
"Sim","Viaja frequentemente","Ensino Técnico","Divorciado","Não","Bom",34,2
"Não","Viaja frequentemente","Ensino Técnico","Casado","Sim","Muito bom",38,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",40,20
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Ruim",26,3
"Não","Não viaja","Ensino Superior","Casado","Não","Ruim",30,5
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",29,10
"Sim","Viaja raramente","Doutorado","Casado","Não","Excelente",29,2
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Não","Excelente",19,1
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",30,9
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",57,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",50,27
"Não","Não viaja","Ensino Superior","Solteiro","Não","Bom",30,11
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Excelente",60,18
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",47,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Ruim",46,3
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",35,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",54,1
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",34,7
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",46,3
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Excelente",31,13
"Sim","Viaja raramente","Ensino Médio","Casado","Sim","Excelente",33,7
"Sim","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",33,4
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",30,3
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",35,8
"Sim","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",31,1
"Sim","Viaja frequentemente","Ensino Superior","Divorciado","Sim","Muito bom",34,3
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",42,2
"Não","Não viaja","Mestrado","Solteiro","Não","Bom",36,10
"Sim","Viaja frequentemente","Ensino Médio","Solteiro","Não","Muito bom",22,2
"Não","Viaja raramente","Doutorado","Casado","Não","Muito bom",48,9
"Não","Viaja raramente","Doutorado","Solteiro","Não","Muito bom",55,10
"Não","Não viaja","Ensino Técnico","Solteiro","Não","Muito bom",41,14
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",35,11
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",40,20
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",39,8
"Não","Viaja raramente","Ensino Médio","Solteiro","Sim","Excelente",31,6
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",42,10
"Não","Viaja raramente","Ensino Superior","Casado","Não","Excelente",45,8
"Sim","Viaja frequentemente","Mestrado","Divorciado","Sim","Bom",26,7
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Excelente",29,3
"Não","Viaja raramente","Doutorado","Divorciado","Não","Muito bom",33,6
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",31,5
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Sim","Muito bom",18,0
"Não","Não viaja","Ensino Superior","Divorciado","Não","Muito bom",40,1
"Não","Não viaja","Mestrado","Solteiro","Sim","Muito bom",41,8
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",26,0
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",35,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",34,10
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Ruim",26,1
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",37,6
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Bom",46,2
"Não","Viaja raramente","Doutorado","Casado","Não","Muito bom",41,18
"Não","Não viaja","Mestrado","Divorciado","Não","Muito bom",37,9
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Muito bom",52,10
"Sim","Não viaja","Mestrado","Casado","Não","Muito bom",32,4
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",24,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",38,1
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",37,6
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Muito bom",49,31
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",24,6
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Excelente",26,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",24,1
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",50,32
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",25,7
"Sim","Viaja frequentemente","Ensino Superior","Casado","Sim","Muito bom",24,6
"Sim","Viaja frequentemente","Mestrado","Casado","Não","Excelente",30,1
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",34,6
"Sim","Viaja raramente","Mestrado","Divorciado","Não","Ruim",31,3
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",35,3
"Não","Viaja raramente","Mestrado","Divorciado","Não","Excelente",31,7
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",27,5
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",37,3
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",20,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",42,10
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Bom",43,1
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",38,0
"Não","Viaja frequentemente","Doutorado","Divorciado","Sim","Muito bom",43,8
"Não","Viaja raramente","Mestrado","Casado","Não","Ruim",48,3
"Não","Viaja raramente","Mestrado","Solteiro","Não","Excelente",44,2
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",34,8
"Sim","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",27,4
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",21,3
"Não","Viaja raramente","Mestrado","Casado","Sim","Excelente",44,2
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",22,2
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",33,5
"Não","Viaja raramente","Mestrado","Casado","Sim","Bom",32,6
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Muito bom",30,1
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Excelente",53,14
"Não","Viaja raramente","Doutorado","Casado","Não","Bom",34,10
"Sim","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",45,1
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",26,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",37,10
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",29,6
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",35,17
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Ruim",33,13
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",54,9
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Muito bom",36,3
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",27,4
"Sim","Viaja raramente","Ensino Médio","Solteiro","Sim","Muito bom",20,1
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Sim","Muito bom",33,10
"Não","Não viaja","Ensino Superior","Casado","Não","Muito bom",35,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Excelente",23,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",25,3
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",38,7
"Não","Viaja frequentemente","Mestrado","Divorciado","Não","Muito bom",29,10
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",48,2
"Não","Viaja frequentemente","Ensino Médio","Divorciado","Sim","Muito bom",27,6
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",37,1
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",50,20
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",34,8
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",24,2
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",39,20
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",32,10
"Sim","Viaja frequentemente","Ensino Técnico","Casado","Sim","Muito bom",50,4
"Não","Viaja raramente","Mestrado","Solteiro","Não","Bom",38,9
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",27,9
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",32,7
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",47,7
"Não","Viaja frequentemente","Mestrado","Casado","Sim","Muito bom",40,18
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",53,5
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",41,21
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",60,2
"Não","Viaja frequentemente","Ensino Técnico","Divorciado","Não","Bom",27,9
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",41,22
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",50,2
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",28,7
"Não","Não viaja","Ensino Superior","Casado","Não","Muito bom",36,8
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Excelente",38,1
"Não","Não viaja","Ensino Superior","Solteiro","Não","Muito bom",44,5
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Sim","Bom",47,22
"Não","Viaja raramente","Doutorado","Divorciado","Não","Bom",30,8
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",29,1
"Sim","Viaja frequentemente","Ensino Superior","Divorciado","Sim","Muito bom",42,2
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",43,2
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",34,5
"Não","Viaja raramente","Ensino Médio","Casado","Não","Excelente",23,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Ruim",39,8
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",56,10
"Não","Viaja raramente","Ensino Médio","Solteiro","Sim","Bom",40,4
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Ruim",27,7
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",29,2
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",53,2
"Não","Não viaja","Mestrado","Divorciado","Não","Excelente",35,1
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",32,10
"Não","Viaja raramente","Doutorado","Casado","Sim","Ruim",38,1
"Não","Viaja raramente","Doutorado","Divorciado","Não","Muito bom",34,0
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",52,34
"Sim","Viaja raramente","Mestrado","Solteiro","Sim","Bom",33,10
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",25,6
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",45,8
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",23,2
"Sim","Viaja frequentemente","Ensino Técnico","Solteiro","Sim","Muito bom",47,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",34,6
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",55,5
"Não","Não viaja","Mestrado","Solteiro","Não","Muito bom",36,10
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",52,4
"Não","Viaja frequentemente","Ensino Técnico","Divorciado","Não","Muito bom",26,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",29,8
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",26,4
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",34,4
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Muito bom",54,5
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",27,4
"Não","Viaja raramente","Ensino Médio","Divorciado","Sim","Bom",37,5
"Não","Viaja frequentemente","Mestrado","Solteiro","Sim","Muito bom",38,15
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",34,6
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",35,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",30,2
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",40,8
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",34,3
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Bom",42,24
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",23,0
"Não","Não viaja","Ensino Superior","Divorciado","Não","Muito bom",24,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",52,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",50,4
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",29,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Excelente",33,13
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",33,3
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Bom",47,26
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,9
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",29,10
"Sim","Viaja raramente","Mestrado","Solteiro","Sim","Muito bom",58,31
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",35,2
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",42,4
"Sim","Viaja raramente","Mestrado","Solteiro","Não","Bom",28,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",32,14
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Muito bom",40,1
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Bom",30,0
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",45,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",42,9
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Bom",38,4
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Muito bom",34,5
"Sim","Viaja raramente","Ensino Superior","Casado","Não","Excelente",49,9
"Sim","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",55,9
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",43,4
"Não","Viaja raramente","Ensino Médio","Divorciado","Sim","Muito bom",27,9
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",35,8
"Não","Viaja raramente","Mestrado","Casado","Sim","Muito bom",28,8
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Ruim",34,3
"Sim","Viaja frequentemente","Ensino Técnico","Casado","Sim","Muito bom",26,8
"Não","Não viaja","Ensino Superior","Casado","Não","Bom",27,0
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",51,20
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",44,5
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",25,4
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",33,9
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",35,6
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Bom",36,18
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",32,5
"Não","Viaja frequentemente","Mestrado","Divorciado","Não","Bom",30,5
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",53,5
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",45,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",32,5
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",52,9
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",37,1
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",28,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Ruim",22,2
"Não","Viaja raramente","Mestrado","Casado","Sim","Bom",44,3
"Não","Viaja frequentemente","Ensino Médio","Solteiro","Sim","Muito bom",42,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,5
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",25,5
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",35,17
"Sim","Viaja frequentemente","Mestrado","Divorciado","Sim","Bom",35,10
"Não","Não viaja","Ensino Superior","Divorciado","Não","Muito bom",32,3
"Não","Viaja raramente","Ensino Médio","Casado","Não","Excelente",25,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",49,4
"Não","Não viaja","Ensino Médio","Casado","Não","Bom",24,5
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",32,10
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",38,2
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",42,5
"Não","Viaja raramente","Mestrado","Casado","Sim","Muito bom",31,6
"Sim","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",29,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",53,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",35,13
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",37,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",53,12
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Bom",43,5
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",47,7
"Não","Não viaja","Ensino Técnico","Solteiro","Sim","Muito bom",37,10
"Não","Não viaja","Mestrado","Divorciado","Não","Muito bom",50,31
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",39,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Excelente",33,4
"Sim","Viaja raramente","Mestrado","Solteiro","Sim","Ruim",32,1
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",29,4
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",44,8
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",28,4
"Sim","Viaja frequentemente","Ensino Médio","Divorciado","Sim","Bom",58,1
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Excelente",43,1
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",20,2
"Sim","Viaja raramente","Ensino Médio","Solteiro","Não","Bom",21,1
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Bom",36,16
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Bom",47,3
"Sim","Viaja raramente","Ensino Médio","Casado","Sim","Excelente",22,3
"Sim","Viaja raramente","Mestrado","Divorciado","Sim","Bom",41,7
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",28,2
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Ruim",39,2
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",27,1
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",34,1
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",42,5
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Muito bom",33,3
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",58,6
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",31,7
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Ruim",35,10
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",49,26
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",48,0
"Não","Não viaja","Ensino Técnico","Casado","Não","Bom",31,9
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",36,6
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",38,15
"Não","Não viaja","Ensino Superior","Casado","Não","Muito bom",32,3
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",25,1
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",40,1
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",26,7
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",41,18
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",36,11
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Excelente",19,1
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",20,1
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Ruim",31,9
"Não","Viaja frequentemente","Mestrado","Divorciado","Sim","Muito bom",40,1
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",32,8
"Sim","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",36,16
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",33,5
"Sim","Viaja raramente","Mestrado","Casado","Não","Ruim",37,14
"Não","Não viaja","Ensino Técnico","Casado","Não","Bom",45,9
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",29,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",35,5
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",52,9
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",58,1
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Excelente",53,17
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Excelente",30,8
"Não","Não viaja","Ensino Superior","Solteiro","Sim","Muito bom",38,5
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",35,10
"Não","Viaja raramente","Doutorado","Solteiro","Não","Muito bom",39,8
"Sim","Não viaja","Ensino Superior","Solteiro","Sim","Bom",40,1
"Não","Viaja frequentemente","Mestrado","Divorciado","Sim","Excelente",47,19
"Não","Não viaja","Mestrado","Divorciado","Não","Muito bom",36,7
"Sim","Não viaja","Ensino Técnico","Solteiro","Sim","Muito bom",31,3
"Não","Não viaja","Ensino Superior","Solteiro","Não","Muito bom",33,10
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",29,0
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",33,3
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",45,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Bom",50,5
"Não","Viaja frequentemente","Mestrado","Casado","Sim","Muito bom",33,6
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Excelente",41,18
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",27,2
"Não","Não viaja","Ensino Técnico","Casado","Sim","Muito bom",45,9
"Não","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",47,9
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",30,5
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",50,12
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Bom",38,2
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",46,8
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",24,4
"Sim","Viaja raramente","Mestrado","Divorciado","Sim","Ruim",35,4
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",31,4
"Não","Não viaja","Ensino Técnico","Solteiro","Não","Muito bom",18,0
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",54,10
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Bom",35,16
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Bom",30,8
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",20,1
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",30,3
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",26,8
